"A","General"
"AC","Collections. Series. Collected works"
"AE","Encyclopedias"
"AG","Dictionaries and other general reference works"
"AI","Indexes"
"AM","Museums. Collectors and collecting"
"AN","Newspapers"
"AP","Periodicals"
"AS","Academies and learned societies"
"AY","Yearbooks. Almanacs. Directories"
"AZ","History of scholarship and learning. The humanities"
"B","Philosophy, Psychology, Religion"
"BC","Logic"
"BD","Speculative philosophy"
"BF","Psychology"
"BH","Aesthetics"
"BJ","Ethics"
"BL","Religions. Mythology. Rationalism"
"BM","Judaism"
"BP","Islam. Bahaism. Theosophy, etc."
"BQ","Buddhism"
"BR","Christianity"
"BS","The Bible"
"BT","Doctrinal Theology"
"BV","Practical Theology"
"BX","Christian Denominations"
"C","Auxiliary Sciences of History"
"CB","History of Civilization"
"CC","Archaeology"
"CD","Diplomatics. Archives. Seals"
"CE","Technical Chronology. Calendar"
"CJ","Numismatics"
"CN","Inscriptions. Epigraphy"
"CR","Heraldry"
"CS","Genealogy"
"CT","Biography"
"D","World History"
"DA","Great Britain"
"DB","Austria - Liechtenstein - Hungary - Czechoslovakia"
"DC","France - Andorra - Monaco"
"DD","Germany"
"DE","Greco-Roman World"
"DF","Greece"
"DG","Italy - Malta"
"DH","Low Countries - Benelux Countries"
"DJ","Netherlands (Holland)"
"DJK","Eastern Europe (General)"
"DK","Russia. Soviet Union. Former Soviet Republics - Poland"
"DL","Northern Europe. Scandinavia"
"DP","Spain - Portugal"
"DQ","Switzerland"
"DR","Balkan Peninsula"
"DS","Asia"
"DT","Africa"
"DU","Oceania (South Seas)"
"DX","Romanies"
"E","History of the Americas"
"F","History of the Americas"
"G","Geography, Anthrpology, Recreation"
"GA","Mathematical geography. Cartography"
"GB","Physical geography"
"GC","Oceanography"
"GE","Environmental Sciences"
"GF","Human ecology. Anthropogeography"
"GN","Anthropology"
"GR","Folklore"
"GT","Manners and customs (General)"
"GV","Recreation. Leisure"
"H","Social Sciences"
"HA","Statistics"
"HB","Economic theory. Demography"
"HC","Economic history and conditions"
